avg_brightness,max_brightness,std_brightness,avg_red,avg_green,avg_blue,green_ratio,yellow_ratio,red_ratio,edge_count,contour_area,hue_mean,saturation_mean,value_mean,label,image_name,label_name
131.0241,252,78.11316739,148.0786,131.356,84.5283,0.1357,0.1685,0.2413,1011,1313,28.082,125.8508,158.4752,1,13dd61f4-IMG_2771_2.jpg,red
120.0933,252,80.37010262,137.8291,120.7825,70.0758,0.1547,0.1461,0.2413,861,147,28.8238,144.9883,149.9031,1,14e0163f-IMG_3666_3.jpg,red
102.7233,253,86.52244181,113.9165,104.2136,66.2612,0.136,0.1092,0.1602,908,1354.5,31.7101,115.7252,123.9842,1,15497fe1-IMG_3186_4.jpg,red
112.2169,250,78.78386544,127.7426,112.5237,70.1955,0.1369,0.2022,0.2097,838,372,25.3948,117.3009,136.2437,1,1650e2ca-IMG_3655_1.jpg,red
135.083,253,73.20167424,156.9298,134.1461,82.6016,0.065,0.0851,0.3436,743,574.5,25.8756,136.9655,167.2341,1,1650e2ca-IMG_3655_4.jpg,red
80.172,253,83.78343283,87.8779,81.0205,56.1074,0.0709,0.0485,0.11,582,49.5,30.7449,94.5242,94.3392,1,1746d1e0-IMG_3153_4.jpg,red
123.2007,253,83.92590077,132.636,124.5404,91.5926,0.1042,0.0883,0.1604,823,1552.5,31.5506,102.9289,140.5238,1,174760b8-IMG_2870_4.jpg,red
122.0751,253,79.61082879,134.1167,124.9449,75.7817,0.1454,0.2059,0.1813,848,318.5,33.3662,118.1506,145.4066,1,17697490-IMG_3478_0.jpg,red
108.5643,252,69.38429553,136.5154,103.8659,59.4177,0.078,0.0345,0.3663,766,81.5,26.1774,155.6013,145.7285,1,17697490-IMG_3478_4.jpg,red
77.8676,251,65.20854446,103.9402,72.9859,34.6827,0.1028,0.056,0.264,730,30,23.0478,166.3074,112.5642,1,1807750e-IMG_3683_1.jpg,red
115.9881,254,80.04303317,134.6178,113.7445,78.4734,0.0677,0.1319,0.2654,954,652.5,34.0315,111.9225,142.0181,1,188a5a08-IMG_2854_3.jpg,red
116.6808,252,81.54721032,128.1773,119.3674,72.9451,0.1353,0.1827,0.1659,773,195.5,32.6328,119.0159,138.8246,1,18d70f3e-IMG_3143_0.jpg,red
94.4393,241,70.84244995,112.8887,96.0005,37.9441,0.1791,0.2145,0.1049,1176,53,22.7981,177.817,124.7208,1,19238edc-IMG_2879_1.jpg,red
105.1816,253,75.07206152,131.269,100.6165,60.4015,0.0989,0.0854,0.3242,743,327,27.6111,143.8711,140.7741,1,1952772c-IMG_3719_2.jpg,red
107.2669,252,79.0638632,121.5978,107.9252,66.3861,0.1045,0.1644,0.1705,954,2421,29.7423,122.8291,129.9397,1,19c8f2f1-IMG_2678_3.jpg,red
95.2073,249,77.29845229,111.7475,93.5175,60.654,0.0936,0.1101,0.2211,730,86,24.4687,121.3645,118.5927,1,1a33088e-IMG_3597_1.jpg,red
93.3546,253,83.06705881,105.0962,93.5035,62.1432,0.0997,0.0584,0.2007,871,129,31.1575,114.2375,113.7622,1,1a33088e-IMG_3597_2.jpg,red
105.371,248,78.58122396,129.3896,100.4826,67.6421,0.0225,0.1691,0.2568,951,81,22.1734,124.3955,132.4313,1,1aa9efdd-IMG_2812_1.jpg,red
118.1869,253,79.79488686,130.2394,120.632,73.9533,0.1608,0.1721,0.1866,856,234.5,33.6531,119.9762,141.8281,1,1b449f14-IMG_3481_0.jpg,red
96.7071,252,77.8091377,115.4151,94.8487,57.2944,0.0845,0.087,0.2803,864,93,28.7263,145.0858,124.1578,1,1b4b4d77-IMG_2851_2.jpg,red
107.0944,253,86.19103021,120.3375,106.55,75.2328,0.0714,0.0946,0.1982,1041,1587,31.3733,111.5333,127.0159,1,1b4b4d77-IMG_2851_3.jpg,red
86.9494,240,71.25265216,109.6866,85.1187,36.4531,0.0554,0.1197,0.2561,639,28,27.8855,171.3365,117.9826,1,1b93474a-IMG_3614_2.jpg,red
107.1481,252,81.63750833,121.9449,107.3652,67.5255,0.1383,0.1622,0.2081,832,480,24.9297,117.7832,130.6372,1,1d7e355f-IMG_3656_1.jpg,red
117.7192,253,83.44353511,134.5182,115.9998,82.4472,0.0579,0.1332,0.2139,993,1972.5,27.2474,113.1982,139.2756,1,1da0bd08-IMG_2906_4.jpg,red
106.183,254,72.3050407,128.2726,104.4154,57.0956,0.0794,0.14,0.1398,738,341.5,28.5445,139.8638,135.3016,1,1e388a0a-IMG_2805_0.jpg,red
105.0916,252,79.45234049,123.5162,104.3594,60.7633,0.0817,0.1196,0.256,887,336,30.2742,131.3868,132.9679,1,1e522d30-IMG_3469_3.jpg,red
107.9446,250,69.66600987,136.0889,103.0075,59.3934,0.0599,0.0392,0.3691,722,94,26.3944,155.2754,145.0613,1,1e522d30-IMG_3469_4.jpg,red
99.6691,247,78.83690256,118.3028,97.8714,60.0971,0.111,0.1143,0.2366,722,73,24.0679,128.6995,125.7211,1,1e559343-IMG_3599_1.jpg,red
84.617,253,80.44814548,98.4915,83.5244,53.9709,0.0789,0.0446,0.2247,782,122,30.207,121.6132,106.2819,1,1e559343-IMG_3599_2.jpg,red
103.2688,253,85.66688711,118.5408,102.7741,66.0955,0.0621,0.1277,0.2247,940,111,30.1443,121.5578,125.2624,1,1e559343-IMG_3599_3.jpg,red
111.884,252,84.30639207,123.6583,113.4381,73.2209,0.1095,0.132,0.1973,824,106,30.1075,125.6932,132.3884,1,1e559343-IMG_3599_4.jpg,red
96.4717,252,81.00853041,110.3799,96.1367,61.8663,0.0957,0.0818,0.2219,808,106,31.2702,123.0431,118.7598,1,1e5a1ec5-IMG_3585_2.jpg,red
113.8566,251,83.04737826,130.4728,114.0299,69.7492,0.1309,0.2182,0.1861,951,330.5,24.1863,120.7343,138.6035,1,203328b3-IMG_3566_1.jpg,red
106.0224,252,80.52362447,120.3931,106.6033,65.8486,0.1198,0.1185,0.2078,899,529.5,31.6658,119.2783,130.3313,1,203328b3-IMG_3566_2.jpg,red
106.1131,252,82.64056818,122.5277,105.4948,66.5484,0.1106,0.093,0.2413,956,186.5,30.1147,124.9402,131.581,1,203328b3-IMG_3566_3.jpg,red
108.3112,252,81.96845463,126.3901,108.4574,60.2075,0.1561,0.1066,0.2478,997,124.5,29.2785,151.7908,139.5399,1,20db2c47-IMG_3509_3.jpg,red
115.1356,251,90.50227297,127.666,114.3964,85.9247,0.0473,0.0706,0.1604,574,29.5,26.9353,106.0482,132.4533,1,20db2c47-IMG_3509_4.jpg,red
74.7987,253,81.95513638,80.7793,75.5372,55.5993,0.0568,0.0499,0.0815,502,43,29.8432,76.445,85.1909,1,218de802-IMG_3147_3.jpg,red
82.7621,247,75.35732946,98.3288,79.7635,57.5235,0.0764,0.0488,0.175,940,1064,19.9148,113.6575,103.3024,1,22246a48-IMG_2903_1.jpg,red
137.1191,254,79.07009748,150.1459,137.4672,101.0328,0.0978,0.1467,0.1686,1117,1477.5,30.1468,103.6582,156.8308,1,22246a48-IMG_2903_3.jpg,red
117.9192,253,71.07182474,145.3395,112.7867,72.2778,0.0431,0.1878,0.3322,758,129,27.9415,131.0329,150.8205,1,2275151f-IMG_2751_4.jpg,red
118.526,250,75.92121788,134.8282,119.434,71.1468,0.0712,0.2375,0.2161,947,65.5,27.6673,138.6178,142.8706,1,232e7b9d-IMG_3525_3.jpg,red
108.469,253,83.68031692,123.84,109.28,64.1024,0.1354,0.1339,0.2151,908,167,28.9855,135.4491,134.6528,1,232e7b9d-IMG_3525_4.jpg,red
120.0907,253,81.55664947,131.9662,121.4753,81.905,0.1362,0.1609,0.1597,949,410.5,28.9002,104.3726,139.612,1,2456c2e2-IMG_2675_0.jpg,red
112.4398,252,79.5754345,129.1737,112.1805,69.8845,0.0954,0.0873,0.2594,771,355,29.9621,131.7409,139.0532,1,24a4e52b-IMG_3584_2.jpg,red
114.2087,252,79.77833756,135.0216,111.8315,71.8391,0.0412,0.1318,0.2909,784,477.5,27.1497,137.8798,141.3234,1,24a4e52b-IMG_3584_3.jpg,red
138.4684,253,68.59655678,156.2993,139.9194,84.3627,0.0942,0.1334,0.274,695,379.5,26.9675,137.0839,167.3338,1,24a4e52b-IMG_3584_4.jpg,red
119.0089,253,75.71719633,146.0064,114.4352,71.6702,0.0702,0.1396,0.3231,847,113.5,27.2122,128.1005,153.2841,1,24f02a20-IMG_2658_3.jpg,red
83.5676,231,69.11566559,103.3747,83.2585,33.0227,0.0765,0.1019,0.2005,791,58,25.6055,177.4703,111.9191,1,25cc6853-IMG_3618_1.jpg,red
91.1972,244,72.72469534,112.5908,89.9133,41.5412,0.0759,0.1219,0.264,763,25.5,28.1292,166.5114,122.0447,1,25cc6853-IMG_3618_3.jpg,red
106.4979,251,81.02165634,122.9612,107.0533,60.6545,0.1623,0.0958,0.2458,910,135.5,30.4334,143.9161,135.8243,1,25cc6853-IMG_3618_4.jpg,red
115.7728,253,68.23357517,146.279,110.41,63.3483,0.0622,0.1846,0.3633,797,233,27.6351,138.2593,153.2295,1,25e393e8-IMG_2753_4.jpg,red
104.1882,251,76.82176632,128.659,99.449,64.5335,0.0223,0.2042,0.2556,881,119,22.1132,127.8794,131.5089,1,2671eb99-IMG_2811_1.jpg,red
97.1034,252,75.26876715,123.402,93.0085,49.1974,0.135,0.133,0.2865,790,109,22.2977,151.9881,133.153,1,26d5718a-IMG_3762_2.jpg,red
109.9522,252,82.1382768,128.819,109.0207,65.6173,0.1207,0.1279,0.2516,927,125,28.6973,128.2242,139.1271,1,26d5718a-IMG_3762_4.jpg,red
104.6533,250,77.99707879,129.4146,99.496,66.4075,0.019,0.1728,0.2643,962,88,21.7839,126.4122,132.069,1,26dbeae3-IMG_2813_1.jpg,red
92.2667,253,83.04404115,106.2974,92.0877,56.6169,0.1053,0.0809,0.1974,922,548,31.7352,124.2447,115.0016,1,28491f09-IMG_3461_3.jpg,red
98.4976,252,87.3927285,110.605,99.4216,62.4297,0.1094,0.1226,0.1628,827,180,32.2906,116.5422,119.5902,1,28905614-IMG_3184_4.jpg,red
108.6259,252,75.01168942,134.0142,105.4854,58.2513,0.0884,0.1171,0.3342,805,221,26.4214,157.6918,143.412,1,289c2bce-IMG_3555_3.jpg,red
79.0346,253,83.88592375,84.5505,80.8088,55.7264,0.0977,0.0077,0.0981,599,23.5,29.8016,91.4093,92.4596,1,28a8f2c5-IMG_3154_4.jpg,red
97.578,249,79.25043543,112.9264,96.491,63.038,0.107,0.1163,0.2046,783,114,25.0186,120.2786,120.0687,1,28dcf978-IMG_3591_1.jpg,red
117.897,253,86.29769864,130.8371,119.5249,75.706,0.0952,0.1674,0.183,936,154,30.6822,124.1266,138.8423,1,28dcf978-IMG_3591_3.jpg,red
114.5242,253,81.92150276,128.1107,116.1778,70.4172,0.0773,0.1921,0.2179,851,108.5,28.9789,141.6429,137.0142,1,28dcf978-IMG_3591_4.jpg,red
132.4534,254,83.63321726,145.9491,133.4053,92.3756,0.1142,0.169,0.1825,990,247.5,27.7216,108.1105,153.5398,1,295b7274-IMG_2671_0.jpg,red
111.4614,252,77.98250515,134.3027,109.56,61.4131,0.1228,0.1803,0.2501,1041,1243.5,24.1982,145.9768,143.8915,1,29c7d600-IMG_3665_1.jpg,red
111.9883,252,82.03746195,129.4168,112.038,66.0334,0.1511,0.1101,0.2403,861,201,29.4459,142.2992,141.2004,1,29c7d600-IMG_3665_3.jpg,red
97.6769,249,74.44993154,121.4079,92.1608,63.8365,0.0879,0.0653,0.2608,940,159,19.9744,126.7836,126.8982,1,2a3c6f61-IMG_2834_1.jpg,red
128.3336,252,79.94284528,143.9049,128.2345,87.8395,0.0895,0.1642,0.2161,1014,2298.5,28.3762,120.1029,151.2747,1,2a3c6f61-IMG_2834_3.jpg,red
101.9753,253,79.61671615,120.7029,100.4575,60.8805,0.0631,0.1828,0.1672,1040,257,22.7546,122.0279,125.9468,1,2bd027f0-IMG_2801_3.jpg,red
113.3232,252,82.55210562,130.6807,113.2558,68.1371,0.147,0.117,0.236,895,178.5,28.5926,138.7615,141.8514,1,2c94b084-IMG_3667_3.jpg,red
126.6783,253,83.91504996,143.2702,126.0292,86.5623,0.1079,0.1736,0.2096,1078,143,25.3507,113.8457,150.9357,1,2d19db29-IMG_2891_0.jpg,red
130.0362,253,68.0497795,146.4616,131.7512,78.0969,0.1272,0.2243,0.2539,792,282.5,27.8805,137.9269,157.2369,1,2d686eb5-IMG_2648_1.jpg,red
115.3863,254,75.08543982,135.9892,112.3488,76.9719,0.0309,0.148,0.2543,805,184,25.5378,111.4934,140.4027,1,2d686eb5-IMG_2648_2.jpg,red
113.5752,253,82.61927224,124.0478,116.079,73.532,0.1365,0.1542,0.1639,614,72,32.7166,114.4621,134.2693,1,2e1aaf06-IMG_3486_0.jpg,red
113.8347,251,80.10955359,129.6364,114.1106,71.3917,0.1323,0.2046,0.2068,837,392,24.9269,116.7693,137.9778,1,3074cdb2-IMG_3659_1.jpg,red
111.4091,252,77.77326493,128.1924,111.2983,68.1342,0.0969,0.1279,0.2666,845,174,30.2235,129.302,138.5696,1,3074cdb2-IMG_3659_2.jpg,red
104.1343,252,76.41541902,123.9332,102.5244,60.4683,0.0869,0.0926,0.2877,750,118,29.4752,138.9047,133.91,1,309adf64-IMG_3576_2.jpg,red
110.8011,252,75.57164772,135.989,106.7729,65.5224,0.076,0.1058,0.3353,634,84,26.4941,145.0182,143.5528,1,309adf64-IMG_3576_3.jpg,red
91.7181,252,82.41228448,108.3473,90.6265,53.9101,0.1026,0.0743,0.2338,976,151,30.3385,135.8687,117.6881,1,30d8d4b1-IMG_3632_4.jpg,red
111.9236,250,82.43793643,129.1519,110.9696,71.7726,0.0903,0.1794,0.2085,946,160.5,24.2707,122.5327,135.5027,1,3125a41a-IMG_3647_1.jpg,red
96.9512,252,82.20010474,108.8138,97.985,61.0143,0.0908,0.1211,0.1981,836,139,32.1288,121.3286,117.4461,1,3125a41a-IMG_3647_2.jpg,red
105.717,252,85.75208167,118.4674,106.9339,66.2828,0.0825,0.169,0.1968,829,136.5,31.1737,133.928,126.24,1,3125a41a-IMG_3647_3.jpg,red
126.4018,249,75.46163235,141.1518,128.1298,78.7701,0.0606,0.2351,0.2475,692,491.5,28.3462,137.6691,149.7037,1,3125a41a-IMG_3647_4.jpg,red
121.0351,252,75.57366518,136.1128,120.0952,86.4126,0.1043,0.108,0.1853,1078,1229.5,26.4753,104.8589,143.3266,1,314ac3f0-IMG_2749_2.jpg,red
123.9648,253,81.70651235,134.0503,126.3559,85.4663,0.1308,0.1661,0.1533,700,210,32.2132,104.4228,143.4238,1,31b1967e-IMG_3485_0.jpg,red
115.7013,250,82.96716506,132.4881,115.927,70.7021,0.133,0.2262,0.189,916,350.5,24.0158,121.0038,140.9048,1,31b5645a-IMG_3567_1.jpg,red
104.656,252,81.12501873,119.1379,104.9916,65.4367,0.1073,0.1116,0.2082,891,394.5,31.6808,117.598,128.5269,1,31b5645a-IMG_3567_2.jpg,red
118.1004,251,70.83333481,142.8945,116.1057,63.3263,0.0976,0.0745,0.3483,782,750.5,26.5887,154.5876,154.1219,1,31b5645a-IMG_3567_4.jpg,red
100.1528,252,80.88371315,118.3702,98.574,60.8662,0.0958,0.1038,0.229,893,222.5,27.8527,124.1707,126.7466,1,320ec683-IMG_3708_1.jpg,red
116.0544,252,73.41980142,145.8322,110.4466,66.8208,0.0544,0.0411,0.3698,729,270.5,25.3193,148.8164,153.9331,1,320ec683-IMG_3708_3.jpg,red
115.7063,254,84.79215671,131.8107,114.3917,80.2373,0.0833,0.0984,0.2081,1172,1799,30.2033,122.5432,139.2287,1,322d3b6b-IMG_2718_1.jpg,red
125.5161,253,80.331814,138.8432,127.0827,82.6488,0.125,0.1863,0.2048,971,183.5,28.2919,123.2241,148.156,1,32400ef3-IMG_2639_1.jpg,red
105.9091,249,76.24005533,123.3533,102.521,77.6495,0.074,0.0852,0.1794,1120,1105,20.9389,105.7756,127.9459,1,332ec48f-IMG_2919_1.jpg,red
125.9969,254,86.85373159,137.5286,126.3822,93.7416,0.064,0.1212,0.1537,1228,2546.5,31.2202,101.8945,143.281,1,332ec48f-IMG_2919_3.jpg,red
113.2383,254,83.4550892,129.1899,111.4797,80.3753,0.0668,0.0789,0.2119,1067,178.5,28.5347,118.6868,134.5255,1,332ec48f-IMG_2919_4.jpg,red
96.036,243,71.26901784,120.8126,93.1463,45.9118,0.1095,0.0891,0.2714,718,44,23.682,161.8537,129.4521,1,33d32851-IMG_3626_1.jpg,red
95.0417,245,77.81640933,115.0914,93.738,49.3591,0.1225,0.0911,0.2664,784,43,26.8651,152.635,125.7455,1,33d32851-IMG_3626_2.jpg,red
92.6603,249,82.43117192,109.3432,91.3792,55.526,0.1136,0.0705,0.2324,878,96,27.338,131.3725,118.4934,1,33d32851-IMG_3626_3.jpg,red
77.7562,253,84.08142697,84.2439,78.9668,54.9336,0.0958,0.0064,0.1083,625,40,30.1072,90.8408,91.8206,1,3455dcab-IMG_3158_4.jpg,red
107.5181,252,79.90703894,125.5069,106.5331,65.6792,0.0729,0.1142,0.2469,814,244.5,30.3726,128.1276,134.1811,1,347967e3-IMG_3479_3.jpg,red
111.0601,253,83.63362654,127.4115,111.5738,65.7068,0.118,0.1761,0.2046,998,640,28.3862,131.6792,136.1296,1,349f4558-IMG_3736_2.jpg,red
130.7042,253,80.95782051,147.8848,130.8777,84.7134,0.0617,0.1687,0.2318,828,243,28.6916,133.7367,155.8394,1,349f4558-IMG_3736_4.jpg,red
124.6879,253,72.9546153,142.5317,124.3201,79.7455,0.1378,0.1719,0.2526,1093,553,25.4471,119.1873,152.8853,1,34ea2ade-IMG_2760_3.jpg,red
140.4918,250,91.97498319,144.0434,143.5746,115.0341,0.0648,0.0944,0.0495,460,13.5,30.3519,80.0133,149.0877,1,35df5dff-IMG_3502_1.jpg,red
91.4306,250,70.78283537,116.4567,88.2639,42.0113,0.07,0.1239,0.2854,717,19.5,27.6369,165.9459,124.7433,1,35df5dff-IMG_3502_4.jpg,red
127.4535,252,77.09810787,151.6165,124.4258,79.6583,0.075,0.1525,0.2885,972,514,27.8219,127.1945,159.6672,1,3684007f-IMG_2660_1.jpg,red
112.7511,252,82.08696942,128.3443,114.3698,63.6944,0.1097,0.1797,0.2201,909,110,29.9631,143.583,138.6954,1,3698e3c8-IMG_3742_4.jpg,red
91.1274,252,81.94977345,108.9206,89.1104,54.9636,0.0845,0.0937,0.2302,882,140.5,25.8076,128.9423,115.7295,1,36ea6763-IMG_3700_1.jpg,red
127.9644,254,78.34685911,140.929,129.5994,85.6278,0.1477,0.1695,0.1996,1023,1146,28.2604,117.1447,150.3152,1,37635580-IMG_2638_1.jpg,red
129.1368,253,81.548472,144.2855,129.0687,89.801,0.0902,0.1566,0.1944,1127,314,29.7173,113.8213,151.1752,1,37635580-IMG_2638_2.jpg,red
88.6644,249,74.68609357,105.6246,86.7657,53.9493,0.1001,0.0784,0.2292,670,90,24.259,125.5198,112.8268,1,38ad1f1b-IMG_3598_1.jpg,red
88.7894,252,82.72838598,101.6645,88.3272,57.8836,0.0895,0.0534,0.2123,816,119.5,31.7447,119.3549,109.7935,1,38ad1f1b-IMG_3598_2.jpg,red
96.457,253,81.86553335,110.036,96.7828,59.5327,0.0991,0.1007,0.2035,809,91,30.5194,124.1191,118.0216,1,38ad1f1b-IMG_3598_3.jpg,red
128.2226,252,71.37390454,143.9598,129.1898,82.0697,0.0954,0.2269,0.2222,1279,310,27.1251,120.3345,152.5736,1,39ffa479-IMG_2654_1.jpg,red
